rp_entry_confirm_bars,rp_exit_confirm_bars,regime_ema_window,regime_min_slope,max_hold_bars,risk_per_trade,return_pct,annual_return,max_drawdown,calmar,net_pnl,closed_trades,total_trades,win_rate
4,4,60,0.003,40,0.005,0.3890580404204616,0.23285681742943898,0.21995434064845473,1.0586597961328974,38905.80404204616,11,22,0.5454545454545454
4,4,30,0.002,20,0.003,0.4184963252710801,0.24943684266593946,0.23645467414575894,1.0549034125338452,41849.63252710801,15,30,0.5333333333333333
4,4,30,0.002,20,0.005,0.4184963252710801,0.24943684266593946,0.23645467414575894,1.0549034125338452,41849.63252710801,15,30,0.5333333333333333
2,3,30,0.003,60,0.003,0.340477661192166,0.2052138975645319,0.19527510026442563,1.0508963881552127,34047.7661192166,15,30,0.4
2,3,30,0.003,60,0.005,0.340477661192166,0.2052138975645319,0.19527510026442563,1.0508963881552127,34047.7661192166,15,30,0.4
3,3,30,0.003,60,0.003,0.340477661192166,0.2052138975645319,0.19527510026442563,1.0508963881552127,34047.7661192166,15,30,0.4
3,3,30,0.003,60,0.005,0.340477661192166,0.2052138975645319,0.19527510026442563,1.0508963881552127,34047.7661192166,15,30,0.4
3,3,30,0.002,20,0.003,0.30504956082685925,0.18482497544270204,0.17713514222985483,1.04341223946894,30504.956082685923,18,36,0.4444444444444444
3,3,30,0.002,20,0.005,0.30504956082685925,0.18482497544270204,0.17713514222985483,1.04341223946894,30504.956082685923,18,36,0.4444444444444444
4,3,60,0.003,40,0.003,0.2711975783549804,0.16515454971324095,0.1615756700956743,1.0221498670898128,27119.757835498036,13,26,0.46153846153846156
4,3,60,0.003,40,0.005,0.2711975783549804,0.16515454971324095,0.1615756700956743,1.0221498670898128,27119.757835498036,13,26,0.46153846153846156
4,3,60,0.002,60,0.003,0.2616532591613062,0.1595743836244754,0.1571408507447905,1.0154863160543603,26165.32591613062,13,26,0.46153846153846156
4,3,60,0.002,60,0.005,0.2616532591613062,0.1595743836244754,0.1571408507447905,1.0154863160543603,26165.32591613062,13,26,0.46153846153846156
2,4,60,0.002,40,0.003,0.3547583909173592,0.2133770267417887,0.21122499070230383,1.0101883590210115,35475.83909173592,12,24,0.4166666666666667
2,4,60,0.002,40,0.005,0.3547583909173592,0.2133770267417887,0.21122499070230383,1.0101883590210115,35475.83909173592,12,24,0.4166666666666667
3,3,60,0.001,20,0.003,0.25053304139471977,0.1530534897401814,0.15219301500188623,1.0056538385699534,25053.304139471977,16,32,0.4375
3,3,60,0.001,20,0.005,0.25053304139471977,0.1530534897401814,0.15219301500188623,1.0056538385699534,25053.304139471977,16,32,0.4375
3,3,40,0.003,40,0.003,0.3926347882154986,0.23487804879556395,0.2352040955727053,0.9986137708344429,39263.478821549856,15,30,0.4666666666666667
3,3,40,0.003,40,0.005,0.3926347882154986,0.23487804879556395,0.2352040955727053,0.9986137708344429,39263.478821549856,15,30,0.4666666666666667
2,3,60,0.002,20,0.003,0.2661923039331827,0.16223007797846423,0.16460152452738327,0.9855928032518039,26619.23039331827,16,32,0.375
2,3,60,0.002,20,0.005,0.2661923039331827,0.16223007797846423,0.16460152452738327,0.9855928032518039,26619.23039331827,16,32,0.375
2,3,60,0.003,20,0.003,0.262459707983221,0.16004647197093136,0.16460152452738347,0.9723267899885439,26245.9707983221,16,32,0.375
2,3,60,0.003,20,0.005,0.262459707983221,0.16004647197093136,0.16460152452738347,0.9723267899885439,26245.9707983221,16,32,0.375
3,3,40,0.002,40,0.003,0.3826124589448687,0.22920962246826138,0.23689703242431384,0.9675495725827274,38261.24589448687,16,32,0.4375
3,3,40,0.002,40,0.005,0.3826124589448687,0.22920962246826138,0.23689703242431384,0.9675495725827274,38261.24589448687,16,32,0.4375
2,4,30,0.002,20,0.003,0.3805026799865079,0.22801447627404614,0.23645467414575871,0.9643052187392593,38050.26799865079,17,34,0.47058823529411764
2,4,30,0.002,20,0.005,0.3805026799865079,0.22801447627404614,0.23645467414575871,0.9643052187392593,38050.26799865079,17,34,0.47058823529411764
2,4,60,0.003,40,0.003,0.3507647118629166,0.21109732548882842,0.2199543406484547,0.9597324829620792,35076.47118629166,12,24,0.4166666666666667
2,4,60,0.003,40,0.005,0.3507647118629166,0.21109732548882842,0.2199543406484547,0.9597324829620792,35076.47118629166,12,24,0.4166666666666667
4,4,60,0.003,60,0.003,0.3485778410516429,0.20984796317747012,0.2199543406484544,0.954052384503123,34857.78410516429,11,22,0.5454545454545454
4,4,60,0.003,60,0.005,0.3485778410516429,0.20984796317747012,0.2199543406484544,0.954052384503123,34857.78410516429,11,22,0.5454545454545454
4,3,30,0.002,20,0.003,0.2560191776688545,0.15627317826572296,0.1670626976105696,0.9354163466820254,25601.917766885454,17,34,0.4117647058823529
4,3,30,0.002,20,0.005,0.2560191776688545,0.15627317826572296,0.1670626976105696,0.9354163466820254,25601.917766885454,17,34,0.4117647058823529
2,4,60,0.002,20,0.003,0.3270352826083647,0.1975010939712969,0.21122499070230338,0.9350271164156485,32703.528260836465,14,28,0.42857142857142855
2,4,60,0.002,20,0.005,0.3270352826083647,0.1975010939712969,0.21122499070230338,0.9350271164156485,32703.528260836465,14,28,0.42857142857142855
2,3,40,0.001,40,0.003,0.36322255061400327,0.2182005530182929,0.23689703242431415,0.9210776124348684,36322.25506140033,17,34,0.35294117647058826
2,3,40,0.001,40,0.005,0.36322255061400327,0.2182005530182929,0.23689703242431415,0.9210776124348684,36322.25506140033,17,34,0.35294117647058826
4,3,60,0.003,60,0.003,0.2405321123033609,0.1471709468365432,0.1615756700956744,0.9108484386875717,24053.211230336092,13,26,0.46153846153846156
4,3,60,0.003,60,0.005,0.2405321123033609,0.1471709468365432,0.1615756700956744,0.9108484386875717,24053.211230336092,13,26,0.46153846153846156
3,4,40,0.001,40,0.003,0.446362802778763,0.2650168922038407,0.29190838746369935,0.9078769353168972,44636.2802778763,13,26,0.46153846153846156
3,4,40,0.001,40,0.005,0.446362802778763,0.2650168922038407,0.29190838746369935,0.9078769353168972,44636.2802778763,13,26,0.46153846153846156
